カード番号,位置,日本語キーワード,読み,英語キーワード,グループ,象意,色,方位,時,カードからのメッセージ,キセキのレシピ,アファメーション
35,⑨－4,八紘一宇,はっこういちう,Peace On Earth,,,,,,日本の建国の精神である八紘一宇。八紘（世界）を一宇（ひとつの家）と見立て、父親が家を守るような、強きものが弱きものを守る世界。 | 建国の精神が世界の存続、世界平和の実現にかなっているので、日本が世界最古の国として歴史を刻んできました。 | 日本の建国の精神を今こそ実現する時がきています。八紘一宇実現の第一歩として自分平和を現実化しましょう。,あなたがこの日本に生をうけた理由はあなたの魂が知っています。 | あなたが持つ影響力の大きさに驚かないでください。 | あなたは八紘一宇を実現するためにこの世界に生まれてきました。 | あなたは自分平和の実現、自分の家族の平和の実現を通して、豊かさを　ドンドン広げていきます。,私は八紘一宇を建国の精神としたからこそ、日本が世界で最も古い国として残っていることを知っています。 | 私は自分をありのまま無条件に愛して自分平和を現実化します。 | 私は自分平和を周囲に広げて日本の建国の精神『八紘一宇』の担い手の一人となります。
36,⑧－4,らしさ,らしさ,Uniqueness,,,,,,百人いれば百人が描く未来があり百人の『らしさ』があります。 | すべての人が『らしさ』を発揮すると調和するように宇宙はできています。 | あなた『らしさ』を追求すると、あなたにしかできない貢献ができます。  | あなたの外見と内面の『らしさ』でしか経験できないことと、味わうことのできない感情があるから、あなたはあなたを選びました。,あなたは28～35のカードを実行したときに『らしさ』を感じています。 | あなたが心地よさを掘り下げていけば、あなたらしさに磨きがかかります。 | あなたは未来に洗練されたあなたらしさを体現しています。 | あなたの未来からイマのあなたにメッセージをもらいましょう。,私は経験を通して味わいたい感情を、私の魂の青写真に記しました。 | 私は私の外見と内面をもってしか経験できないことを、イマココで経験して感情を味わっています。 | 私は私らしさを表現することが、宇宙全体の喜びだと知っています。私は私らしさを発揮します。
37,①－5,原点,げんてん,Origin,5グループ,第四チャクラ,緑,中央,－,この宇宙の原点は、ビックバン一秒前に存在します。そこには愛と調和がありました。宇宙は拡大からやがて縮小に転じて再度原点に戻ります。 | 時間も空間もなかった原点で、創造主は138億年後の地球をこのように意図していました。 | あなたの魂の青写真は原点で意図されていました。その時点の意図を生きるか、イマココの意図を生きるかはあなた自身に委ねられています。,あなたは原点がスタートで原点がゴールの旅をしています。 | あなたは物語がハッピーエンドで終わることを知っています。 | あなたは感情に流され没入することも、『ゆるゆる』することも選べます。 | あなたが旅の目的地を知れば知るほど『ゆるゆる』します。,私は私の人生の目的が魂の青写真どおりの経験を通して、感情を味わうことだと知っています。 | 私は人生の目的を知ることでエゴのゲームの夢から目覚めて、全てがひとつであったことを思い出すことを選択します。 | 私はこの宇宙のゴールが原点だとを知っています。原点は愛と調和です。そこまでの旅を『ゆるゆる』して楽しみます。
38,②－5,価値観,かちかん,Values,,,,,,母性の本質をひと言であらわすと『はぐくむ』となります。 | 『はぐくむ』というのは決めた未来につくための能力です。 | あなたが『はぐくむ』雰囲気を持ち、周囲の命を輝かせて決めた未来につけるように燃料を供給します。 | あなたの『はぐくむ』姿勢が未来とのギャップを埋めます。,あなたが『はぐくむ』と思うだけでエネルギーが沸き上がります。 | あなたが『はぐくむ』で示す母性の本質は人の命を輝かせます。 | あなたは『はぐくむ』雰囲気を持てば周囲は自然と成長していきます。 | あなたは宇宙の『はぐくむ』力で今日も生きています。,私は『はぐくむ』の母性の本質で人々の命の輝きを応援します。 | 私の応援は、決めた未来につくための燃料となります。 | 私は温かい『はぐくむ』の姿勢で意図の実現をサポートします。 | 私は『はぐくむ』の雰囲気をもって温かい目で見つめて励ますことにより、周囲にエネルギー循環を広げます。
39,③－5,はぐくむ,はぐくむ,Bring Up,,,,,,人は価値観に応じて、自分が正しいと思う選択をします。 | その人が価値観を育むためには、十分な理由と歴史があります。その価値観に基づく経験と感情が、その人の人生の第一目的です。 | 全ての人の行動はその人の価値観を元に行われています。 | 価値観は喜怒哀楽のドラマの燃料になっています。温かく見守りましょう。,あなたが自分を大切にする価値観を選べば感情に流されなくなります。 | あなたがあなた自身を大切にできない価値観は手放しましょう。 | あなたが価値観を変化させればあなたの選択は変化します。 | あなたは自分の価値観を大切にするので、相手の価値観を尊重できます。,私は私自身を尊ぶことにつながる価値観を選びます。 | 私は経験を通して感情を味わうことが人生の第一目的と知っています。 | 私は私が理解できない価値観を持つ人がいても、その人がその人なりの価値観を軸に行動していることを知っています。 | 私は私を大切にします。私は私と相手の価値観を尊重します。
40,④－5,意識,いしき,Conscious,,,,,,あなたが『ゆるゆる』な意識であれば、あなたの魂の望む行動ができます。あなたの意識を観察しましょう。 | あなたが高い波動を維持するには、『ゆるゆる』していること、第三者の目線で観察すること、感謝することが大切です。 | 自分の魂に直結した『ゆるゆる』な意識であれば、周囲に幸せが広がっていきます。,あなたが高い波動を維持すれば、喜怒哀楽のドラマにハマりません。 | あなたは元々は魂と直結し、純粋でクリアな高い波動でした。 | あなたの命は有限です。あなたの意識で生きる時間を増やしましょう。 | あなたの魂の望む選択を続ければ、人生の目的は明確になります。,私は自分の魂に直結した意識でいるために、心地よさを選択のモノサシとします。 | 私は自分を大切にして魂の選択を続けることで、『ゆるゆる』な高い波動の意識を維持します。 | 私は広がる豊かさと幸せの循環を受け取ります。
41,⑤－5,波動,はどう,Vibes,,,,,,宇宙はすべて波動でできています。あなたの波動はあなたの心臓により刻まれ周囲に広がっていきます。 | どんな波動を広げるかは、すべてあなたに委ねられています。 | 物事に対して『ありがたい』と思うか、『当たり前』と思うかで波動は上下します。,あなたは波動により周囲に影響を与えています。 | あなたが異なる結果を受け取りたいなら、波動を変えましょう。 | あなたが波動を変える一番のコツは『感謝』することです。 | あなたの代わりに役を演じてくれる人がいるから、あなたはあなたの役柄を演じることができます。,私は私が心地よいと感じる波動を維持します。 | 私は自分で自分の波動を選択します。 | 私は感謝することで自分の波動が上がることを感じます。 | 私は『ゆるゆる』の波動が周囲へ幸せを広げることを知っています。
42,⑥－5,蝋燭の炎,ろうそくのほのお,Candle Flame,,,,,,あなたはあなた自身の方法で愛を伝えるために生まれてきました。 | あなたは効率から離れる事により、奇跡を見つけるでしょう。 | 歴史を変えた開発者が行き詰ったときに、問題を解決するヒラメキが起きたタイミングは、川を流れる葉っぱをボーッと眺めている時でした。 | あなたが効率だけを考えていたらたどり着けない場所があります。効率から離れて心地よい選択を心がけましょう。,あなたの魂はあなたの夢への道筋を知るカーナビのようなものです。 | あなたの手間や思い、工夫、インスピレーションが奇跡の種です。 | あなたは効率を考える前に魂の声を聴きましょう。 | あなたは魂の声を聴くことで、最適な行動をすることができます。,私は効率が自分の幸せに直結しないことを知っています。 | 私は合理的や効率的でないことの中に奇跡の種があることを知っています。 | 私は自分の魂の声を聴き、自分が心地よい選択をします。 | 私は効率から離れて心地よい選択を続けて奇跡を経験します。
43,⑦－5,効率,こうりつ,Efficiency,,,,,,愛は消えもしないし、短くもならない蝋燭の炎に例えられます。あなたが誰かの蝋燭に火を灯しても炎は増えていきます。 | 水筒に入った水のように減ると勘違いしていると、愛をあげることをためらってしまいます。 | ドンドンと増えていく愛の炎。あなたの目の前の人に愛の炎の波紋を広げていきましょう。,あなたの眼差し、態度にありったけの愛を乗せて人と接してください。 | あなたは自分を尊び、自分に対してありのまま無条件の愛を注ぎます。 | あなたの愛は人に与えて循環している限り、増え続けていきます。 | あなたらしく愛を表現し、手渡すことを続けましょう。,私はありのまま無条件の真実の愛を乗せて行動します。 | 私は私と縁があった人に、ありのまま無条件の愛をこめて接し、相手の蝋燭に炎を灯していきます。 | 私は愛を渡しても減らないことを知っています。 | 私は愛が波紋のように広がり、増えていくことを知っています。
44,⑨－5,自然法爾,じねんほうに,Spontaneously As-Is,,,,,,季節が巡るのと同じように、起こることは自然に起こります。 | 自然法爾（じねんほうに）とはコントロールしないでありのままに身を任せることです。 | 魂は人生のカーナビです。あなたにとって自然に幸せになる道を示してくれています。,あなたは魂の声を聴いて自然法爾に生きましょう。 | あなたが愛を表現した結果、豊かになることは自然なことです。 | あなたは『ゆるゆる』することで宇宙の流れに身を委ねることができます。 | あなたの身体の感覚に従い、魂が望む方向に進みましょう。,私は魂の声を聴いて生きれば、豊かな人間関係、健康を維持できることを知っています。 | 私は魂の声を聴いて愛を自分の好みの形で表現して、無限の豊かさを広げます。 | 私はありのままに生きて、自然法爾に起きてくることを楽しみます。
45,⑧－5,感謝,かんしゃ,Gratitude,,,,,,体感覚と心地よさに身を委ねて魂の選択をすれば、奇跡が自然に起きます。 | 当たり前に思えることは実は何ひとつ当たり前ではないことに気が付いたとき、あなたは感謝を感じます。 | あらゆることに感謝ができるのは、全てにありのまま無条件の愛を向けることと同じ意味です。,あなたは37～44のカードを実行したときに『感謝』を感じています。 | あなたが感謝をすればあなたの波動が上がります。 | あなたは感謝をすると対象物からエネルギーを受け取ります。 | あなたが不平を言うと、現実が変わるスピードは遅くなります。,私は当たり前と感じることにも感謝を見つけます。 | 私は私が感謝をすれば全てがより輝くことを知っています。 | 私は感謝が自分の波動を高めることを知っています。 | 私は未来を感謝しながら映像化して、意図を現実化します。
46,①－6,今茲,いまここ,Now Here,6グループ,第五チャクラ,青,北西,乾（21時）,時間は幻想です。過去も未来も実際には存在せず、イマが永遠に続いていきます。 | あなたがイマココに意識を向ければ、あなたが望む未来を作り上げることができます。 | 過去は記憶、未来は想起です。どちらも現実ではありません。イマココの現実を見つめましょう。,あなたがイマココに感謝をもって意識を向ければ、無制限の力が使えます。 | あなたが過去や未来に囚われれば、あなたの力を制限することになります。 | あなたがイマココを受け止めることと、未来の映像化は同時に行われます。 | あなたが自分自身を大切にすることと、イマココを生きることは同じ意味です。,私はイマココをありのままに受け取ることで、私の持つ無制限の力を発揮します。 | 私は過去の意図の結果をありのまま受け取ります。  | 私はイマココで望む未来を明確に意図し、現実化させます。 | 私はイマココを生きて自分を大切にします。
47,②－6,受容,じゅよう,Acceptance,,,,,,子供の本質をひと言であらわすと『わくわく』となります。 | ビックバン一秒前に全ての経験したいことを、魂の青写真に詰め込んだ創造主は『わくわく』でいっぱいでした。 | 『わくわく』の雰囲気をもって行動すれば、意図は現実化します。 | 変化し続けるのが宇宙の本質です。『わくわく』して楽しみましょう。,あなたが『わくわく』を感じるとエネルギーが生まれます。 | あなたの『わくわく』は決めた未来に到達する燃料です。 | あなたが『わくわく』を持って未来を見れば、意図は現実化します。 | あなたの『わくわく』はイマと未来のギャップを埋める魔法です。,私は意図した未来につけるよう『わくわく』して自分の命にエネルギーを与えます。 | 私は『わくわく』の姿勢で、意図の現実化を楽しみに待ちます。 | 私は魂の青写真に経験したい出来事と感情を記しました。 | 私は全ての経験が魂の青写真から見れば成功ということを知っています。
48,③－6,わくわく,わくわく,Excited,,,,,,あなたが自分自身のありのままを受容すれば、他人のありのままを受容し、受け入れることができます。 | 意図を上げて、全ての経験を通して全ての感情を味わうことが、宇宙の創造主の原点の計画です。裁く必要のあることは何ひとつありません。 | 自分と他人のありのままを受容することを始めましょう。 | そこにはありのまま無条件の愛があふれています。,あなたが自分のありのままを受容することが自分を尊ぶ第一歩です。 | あなたが魂の青写真に記した経験と感情を味わうために、今までの全ての出来事がありました。 | あなたは自分自身をありのままに受容することで、自分自身が最も欲しかったものを自分に与えることができます。,私は私自身をありのまま無条件に受容します。 | 私が経験した人生の一つ一つの出来事は、自分が魂の青写真に記し心の底から経験したいことでした。 | 私は自分のありのままを受け入れて、他人のありのままもジャッジすることなく受け入れます。
49,④－6,欲求,よっきゅう,Desire,,,,,,あなたの全ての行動の背景には欲求があります。この欲求を観察すると、自分の魂が望む行動なのか、自分のエゴが望む行動なのかがわかります。 | エゴの欲求は独善的で独りよがりです。魂の欲求は全体最適ですべてが幸せになる選択です。どちらを選ぶかはあなたの選択です。 | あなたは感情を観察すれば、欲求の種類を見分けられます。,あなたの魂の欲求よる選択は、全てに豊かさをもたらします。 | あなたが魂の欲求をカタチにすると、ありのまま無条件の愛にあふれます。 | あなたが自分に与えたありのまま無条件の愛を周囲にあたえましょう。 | あなたは周囲に本質的な欲求である無条件の愛を与え、豊かになります。,私は私の魂が望む欲求をカタチにしていきます。 | 私が、魂から求めることは『ゆるゆる』すれば、インスピレーションとしてわかります。 | 私は魂の欲求は周囲に調和をもたらすことを知っています。 | 私はアゴを上げて顔の力を抜いて魂の欲求を選択します。
50,⑤－6,選択,せんたく,Choice,,,,,,あなたが選択をするとき、自分の心臓を意識しましょう。そして、心臓が何となくゆるんだり広がるような選択をしましょう。 | 心臓が何となくキュッとなったり縮むような選択は、たとえ合理的だったり効率的に見えても、魂の欲求に基づく選択ではありません。 | あなたは選択の都度、波動の違う次元に移動しています。,あなたがもっとも心地よいと感じる波動を選択をしましょう。 | あなたの心臓の出す周波数にあった現実が周りに展開します。 | あなたは選択の時、自分の心臓を意識して心臓が緩む選択をしましょう。 | あなたの意図した未来にたどり着くために、心臓に意識を向けましょう。,私は損得や合理性などの判断を手放し、心地よさやしっくりくる心臓からのサインで選択します。 | 私は数々の奇跡は損得や合理性ではなく、偶然としか思えないきっかけで起きたことを知っています。 | 私は心臓からのサインで何事も選択し奇跡を選びます。
51,⑥－6,真実,しんじつ,Truth,,,,,,ビックバン一秒前の原点は全てがひとつでした。ビックバンで二極を作って、光と闇、善と悪などをこの三次元では経験しています。 | この世界に存在する全ての人が、経験と感情を味わうための役柄を演じています。 | 二極の中のあらゆる感情を再現するために、全ての出来事が起きています。それらの人々をジャッジすることなく温かい眼差しで見つめると、彼らもいずれ目覚めます。,あなたが二極の世界にいたからこそ、喜怒哀楽の感情を味わえました。 | あなたがもう十分経験と感情を味わったと決めれば目覚められます。 | あなたはひとつだったことを思い出せば目覚められます。 | あなたは目覚めとともに、元々の本質であった至福を思い出します。,私は二極の価値観から離れて、全体最適を実現する生き方へシフトします。 | 私は二極の価値観から離れると今まで感じていた不安と恐怖が無くなることを知っています。 | 私は全ての経験と感情を味わいつくした今、対極によってその感情を味わう必要はなくなったので、目覚めることを選択します。
52,⑦－6,二極,にきょく,Bipolar,,,,,,あなたは自分の真実に沿って生きています。 | あなたの真実があなたの現実を作ってきました。 | あなたの真実をあなたを幸せにする大好きなことに上書きしましょう。 | あなたが今まで信じてきた真実を、あなたを幸せにする大好きなことに上書きすることによって、あなたの現実は変化していきます。,あなたが信じたことは波紋のように広がっていきます。 | あなたがあなたの真実を生きれば、周囲の人々も真実を生き始めます。 | あなたが見つけた真実を生きることは、あなたと世界を幸せにします。 | あなたの真実はあなただけのものです。,私は私を幸せにする大好きなことを私の真実として生きます。 | 私は選択をする時に、私の真実を意識して魂の声を聴きます。 | 私が自分を幸せにする大好きな自分の真実を生きるとき、私の周囲には豊かさ、幸せ、調和の波紋が広がります。
53,⑨－6,調和,ちょうわ,Harmony,,,,,,あなたの身体の数十兆個の細胞は全てが調和しています。 | 宇宙も人体に例えられすべてが調和しています。 | 不調和に見えることも大調和への通過点です。 | あなたの魂は大調和への生き方を知っています。,あなたは宇宙がカオスと調和を繰り返していることを知っています。 | あなたが調和をしていれば、あなたの周囲に調和が広がります。 | あなたが自分をありのまま無条件に愛すことがあなたの調和です。 | あなたの魂の選択はいつでも全体最適な調和につながっています。,私は不調和が通過点だと知っているので、冷静に観察することができます。 | 私がカオスを求めることも、調和を求めることも、私の選択次第です。 | 私は私自身にありのまま無条件の愛を注ぎ、私から調和の波紋を広げます。 | 私の調和した状態から出るエネルギーや言葉は、周囲を癒していきます。
54,⑧－6,真理,しんり,Verity,,,,,,ビックバン一秒前の原点に始まり広がり切った宇宙は、やがて原点に向かって収縮し一点に戻ります。 | 長い目でみると原点に戻ることが、宇宙の唯一の真理であり未来です。 | 原点には至福しかありませんでした。旅の最終目的地はハッピーエンドです。旅の過程を楽しみましょう。,あなたは46～53のカードを実行したときに『真理』を見つけます。 | あなたが真理を知り未来を映像化することにより、意図は現実化します。 | あなたは真理を知ることにより、不安と恐怖を見つめることができます。 | あなたが真理を生きていれば、あなたはあなたを大切にします。,私は宇宙が至福であった原点に戻ることを真理として知りました。 | 私は真理に沿った生き方が、調和や豊かさに繋がることを知っています。 | 私は真理を知り真理を生きるように意図を上げます。 | 私はその生き方を通して、調和や豊かさを手に入れます。
55,①－7,内なる平和,うちなるへいわ,Inner Peace,7グループ,第六チャクラ,藍色,西,酉(18時),世界平和を望むのであれば、まずあなたが自分自身の内なる平和を感じましょう。 | 周囲の環境に反射的に反応せず、自分が望むように対応していけば、あなたは内なる平和を感じられます。 | あなたはあなたを幸福にする責任があります。,あなたがこの世で唯一思い通りになるのはあなた自身です。 | あなたがあなたを幸福にできるかは、全てあなたの選択にかかっています。 | あなたは選択の結果、内なる平和を感じる事ができます。 | あなたの感じている内なる平和が世界平和へとつながります。,私は私自身にありのまま無条件の愛を注ぐことにより、自分の内なる平和を感じます。 | 私は『出したものを受け取る』という宇宙の法則を知っています。 | 私は内なる平和を感じ、調和の波紋を広げます。結果として私は調和を受け取ります。
56,②－7,電球交換,でんきゅうこうかん,Bulb Replacement,,,,,,あなたが魂の選択を行えば宇宙の流れに乗るので、奇跡としか思えないことを実現できるようになります。 | 意図→ゆるゆる→行動を実践し、宇宙の流れを信じている人はみんな奇跡を起こしています。 | 奇跡は人との出会いから始まります。奇跡を呼ぶ出会いのためには、合理的や損得、効率から離れて、心地よいと感じる選択をしましょう。,あなたが起こす奇跡は周囲に豊かさと笑顔をもたらします。 | あなたの直感や心臓がゆるむ感覚を大切に選択を行いましょう。 | あなたが意図→ゆるゆる→行動すれば自然に現実化します。 | あなたが起こす奇跡は宇宙全体の喜びです。,私は自分が心地よいと感じる魂の選択をします。 | 私は魂の声を聴いているので『ゆるゆる』しています。 | 私は『ゆるゆる』しているので奇跡を受け取ることができます。 | 私が心地よさを感じながらしたことは、奇跡と心地よさを連れて帰ってきます。
57,③－7,奇跡,きせき,Miracle,,,,,,あなたが望まない感情を味わっているなら、電球交換するように望まない感情を取り外して望む感情に付け替えましょう。 | あなたが自分からみて左の壁は自分の思い通りにならないこと、右の壁は自分の思い通りになることと設定してみましょう。 | 他人を変えようとすることは左の壁。正午に『なぜまだ夕焼けが見えないんだ』と叫ぶのと同じようなことです。右の壁に集中して自分で感情を選択しましょう。,あなたの感情にはあなたが自分で責任をとりましょう。 | あなたが感情を十分味わったら、感情をトイレに流すように流しましょう。 | あなたが味わいたい感情を選択すれば、あなたが望む感情だけを選べます。 | あなたが感情を切り替えるためのスイッチをいくつか作りましょう。,私は私を大切にしているので、感情に流される選択を選びません。 | 私は私が抱く感情に自分で責任を取ります。 | 私は電球を交換するように自分が望む感情を選択します。 | 私は例えばケーキを食べるとか、歌うとか、アゴを3センチ上げて顔の筋肉を緩めるとかして、感情を切り替えるためのスイッチを押します。
58,④－7,執着,しゅうちゃく,Attachment,,,,,,肉親や子供や自分の命に対する執着は、強烈なエゴのドラマの燃料となってきました。 | 自分の価値観や考え方に執着すれば、それと異なるものに痛みや不調和を感じます。 | 自分から出したものは自分に返ってきます。出来事に対して冷静な観察をして対応できれば、自分の出すものを調節できます。,あなたは感情を伴うドラマのそばに執着を見つけられます。 | あなたの執着は好みが固着してしまったもので、あなたの自由を奪います。 | あなたの未来から観察をすれば執着を手放すことは簡単です。 | あなたが自分を大切にする選択をするなら執着を手放すでしょう。,私は私の執着を観察して軽さや柔軟性のある好みに変えていきます。 | 私は執着が感情の燃料になっていることを知っています。 | 私は『ケセラセラ』と唱え執着を水に流してしまいます。 | 私は執着より好みを選びます。
59,⑤－7,観察者,かんさつしゃ,Observer,,,,,,創造主の視点で観察してみれば、全ては予定通りに展開していることに気が付きます。創造主は観察者です。 | 全ての経験を通して全ての感情を味わうことが、観察者の第一の目的でした。その観察者の目線で全てを温かい目で見つめましょう。 | 歴史を振り返ってみても残酷な出来事が、平和の礎となっている場合が多くあります。時空を超えた観察者は全てを知っています。,あなたの価値観を観察者の視点で見て変化させましょう。 | あなたは感情を味わっている時に執着しているものを冷静に観察します。 | あなたが観察者の視点を持てばあなたを大切にできるようになります。 | あなたが観察者の視点を持つことが、あなたが最も高く純粋な波動を維持するための魔法です。,私は宇宙の創造主の観察者の目線で全てを観察します。 | 私はジャッジしないで冷静に観察し、全ての出来事の背景にある創造主の意図を観察します。 | 私は観察者の目線ですべてを見るので、自分を大切にできます。
60,⑥－7,信頼,しんらい,Trust,,,,,,明日の朝ご飯が食べれることを期待する人は少ないはずです。当たり前にご飯が食べれることを知っているからです。 | 期待とは、それが実現しないかもと不安と恐怖を抱いている現れです。 | 相手に期待をするということは、自分の望む未来を相手に押し付けているとも言えます。,あなたは未来から自分を見て期待から離れることができます。 | あなたが期待から離れれば意図の現実化は早まります。 | あなたが宇宙の流れを信頼すると意図はかなっていきます。 | あなたはもともと未来を知っています。思い出すだけでよいのです。,私は期待を手放して、不安や恐怖を見つめます。 | 私は意図したものは最適なタイミングで現実化することを知っています。 | 私は意図が叶わないことに不安を感じることはありません。 | 私は相手に期待をすることなく、信頼を向けて相手の命を輝かせます。
61,⑦－7,期待,きたい,Expectation,,,,,,根拠に基づく信用とは異なっていて、信頼とはあなたがただ相手に向ければよいものです。 | エゴの固い殻の内側には誰もが輝く魂を持っていて、いつか魂の選択をスタートし、目覚めます。 | これを知っていればあなたが相手を信頼することは簡単です。相手を信頼すれば信頼が返ってきます。,あなたは相手に無条件の愛に基づく信頼を向けることができます。 | あなたは相手の命に対する根源的な信頼を感じています。 | あなたの信頼は相手に命の奇跡を思い出させます。 | あなたが相手を信頼の目で見るとき、その人はそれに相応しい人になるでしょう。,私は全ての人々はエゴのゲームの夢から目覚め、魂の選択に沿って生きる旅の途中だと知っています。 | 私は相手の魂の美しさや命の輝きを知っているので、私が相手を信頼することは自然なことです。 | 私が相手に向ける信頼は、相手に気づきと癒しをもたらします。
62,⑨－7,多様性,たようせい,Diversity,,,,,,人には魂がひとつづつあるので、百人百様の多様性がこの地球を彩り豊かにしています。 | あなたが自分の魂から望むものに意識を向ければ、他人が魂から望むものに意識を向けられます。 | 相手を自分と同じモノサシで測ろうとしなければ、痛みが生じることもありません。,あなたは相手の人間性を理解する必要はありません。 | あなたは相手の人間性を本当の意味で理解することもできません。 | あなたは相手の人間性を解釈することなく、認めればよいだけです。 | あなたは多様性がこの宇宙を豊かにしていることを知っています。,私は人間それぞれに魂があり、その魂は多様性をもって存在していることを知っています。 | 私は自らの魂の声を聴いて多様性を認め、相手のありのままを認めます。 | 私はエゴのゲームから目覚めてひとつに戻っていく旅の途中で、多様性を楽しみます。
63,⑧－7,無礙,むげ,Free,,,,,,いずれすべては原点に戻る宇宙の真理を知った後に、何かにこだわる必要があるでしょうか。 | こだわりを全て捨てた境地が無礙（むげ）の境地です。 | 引っかかるものが何もない自由の極みにいる自分を意図できたら、これ以上の幸せはありません。,あなたは55～62のカードを実行したときに『無礙』の境地にいます。 | あなたは意図→ゆるゆる→行動して、意図を自由に現実化させていきます。 | あなたはあなた以外の何ものにも妨げられず、何の障害もありません。 | あなたは制限のある三次元の肉体を持ちながらも、いずれは全てが原点に戻ることを知り自由自在になります。,私は全てのこだわりや執着を捨てて無礙の境地に到達します。 | 私は肉体の命が終わるときに持って帰れるものは、少しの経験の記憶と感情だけということを知っています。 | 私が原点から始まった宇宙が原点に終わることを知れば、執着やこだわりを捨てることは簡単です。
64,①－8,光,ひかり,Light,8グループ,第七チャクラ,紫色,東北,艮（3時）,はじめにあり、イマあり、やがてあるものは光だけです。 | 宇宙にあるすべての物質は光の波長が異なって表れています。すべてが光で出来ています。 | 頭上から降り注ぐ光は宇宙の愛です。太陽から注がれる宇宙の愛の光を、全身で受け取りあなたらしく表現しましょう。,あなたはあなたらしく、宇宙の光を表現するために存在しています。 | あなたが言葉に光を乗せて話すとき相手は光に包まれます。 | あなたは光だったことを思い出すだけで、あなたからまばゆい光が解き放たれます。 | あなたの光は広がり宇宙を明るく照らしていきます。,私は私が光だったことを思い出し自分らしく輝きます。 | 私は私の光を私らしく周囲へ伝えていきます。 | 私は相手が心地よいと感じる程度に私の光を調節し照らします。 | 私の光を含んだ言葉は相手の命を輝かせます。
65,②－8,委ねる,ゆだねる,Surrender,,,,,,宇宙全てのものを大切にする人は、自然に自分のエネルギーや、意図、思考、言葉、行動が丁寧になっていきます。 | あなたに丁寧でない瞬間があるとしたら、あなたのエゴが活発化している証拠です | 人に意識があるのと同じようにモノにも意識があります。あなたがモノに対して丁寧に接すれば、モノはあなたの波動を整えるのに協力してくれるでしょう。,あなたが丁寧な波動をだせばあなたは丁寧な波動を受け取ります。 | あなたが丁寧に生きればあなたの周りには癒しと笑顔があふれます。 | あなたがあなたらしく丁寧に生きることは宇宙の喜びです。 | あなたのセンスで丁寧をあなたの命が終わりを迎えるその日まで磨き上げることは、あなたに託された願いでもあります。,私は私らしく自分の丁寧さを磨き上げていきます。 | 私が丁寧さを磨く過程で、私は多くの気づきを得て自分のエネルギー、意識、言葉、行動、波動を整えていきます。 | 私が丁寧になればなるほど、私の周りに癒しと笑顔があふれていきます。それは私の喜びであり宇宙の喜びでもあります。
66,③－8,丁寧,ていねい,Courtesy,,,,,,あなたが宇宙を信頼することと、あなたが宇宙にあなたを委ねることは全く同じ意味です。 | あなたが頭脳で考えるよりも、感覚や心地よさに身を委ねることであなたの人生の目的が見えてきます。 | あなたができることとできないことを知り、こだわりを捨てて委ねきったところに『ゆるゆる』の秘訣が隠されています。,あなたはあなたの心と身体を選んで魂の青写真を書きました。 | あなたは委ねることにより、あなたの魂の青写真を見つけます。 | あなたがコントロールできないことは宇宙に委ねてしまいましょう。 | あなたが委ねたことはあなたが責任を取る必要はありません。,私は全ての存在が最適最善を生きていることを知っています。 | 私は私にとっての最適最善を生きるために、宇宙の流れを信頼して自分の魂や心地よさに選択を委ねます。 | 私は選択を魂に委ねることにより、魂が知っている全体最適の結果を受け取ります。
67,④－8,神秘,しんぴ,Mystery,,,,,,奇跡の背景には神秘が隠されています。 | 努力や効率を超えた神秘的な力を背景として奇跡が起きています。 | あなたはあなたらしく神秘を実現します。 | あなたが神秘を発見したり観察することにより、意図→ゆるゆる→行動のもつ魔法の力が手に入ります。,あなたが丁寧に生きれば、あなたは様々なところに神秘を発見します。 | あなたが丁寧に生きる過程で、あなたらしい神秘を発揮していきます。 | あなたは自分の中にも相手の中にも神秘を見つけることができます。 | あなたの波動次第であなたの人生は神秘的なものになります。,私は私らしく神秘を見つけて実現し、奇跡を起こします。 | 私は丁寧に生きて気づきを増やし、多くの神秘を発見します。 | 私は自分の中にも相手の中にも神秘を見つけ、奇跡を起こします。 | 私は自分の波動を高めて人生を神秘的なものにします。
68,⑤－8,森羅万象,しんらばんしょう,All Creations,,,,,,この宇宙に存在する森羅万象（しんらばんしょう）、万物は波動でできていて、波動で繋がっています。 | 水が高いところから低いところに流れるのと同じように、エネルギーも高い波動が低い波動に影響を与えます。 | あなたが波動を上げても、それにともなったものが周囲にないとしたら、あなたはそれが来ることを拒んでいます。,あなたはあなたが心地よいと感じることだけをすればよいのです。 | あなたはあなたの波動にあったものに囲まれるようにしましょう。 | あなたの望まないものが周囲にあるなら、あなたの波動を変えましょう。 | あなたに不調和があるとしたら、その道はあなたが進む道ではありません。,私は森羅万象、万物すべては波動でできていてつながっていることを知っています。 | 私は自分が望む波動を維持してそれにふさわしいものを引き寄せます。 | 私は自分の波動と異なっているものを手放します。 | 私は心地よいと感じるものを選択して苦と感じるものを手放します。
